model,accuracy,balanced_accuracy,macro_f1,weighted_f1,roc_auc
dummy,0.6796,0.5,0.4046,0.5499,
logreg,0.7261,0.7211,0.7041,0.7331,0.8017
random_forest,0.7451,0.7248,0.7166,0.7489,0.8028
xgboost,0.7287,0.7246,0.7071,0.7357,0.7985
